return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,prec_idf_diff,ng_idf_hist,ng_idf_future,ng_idf_diff
2,62.69359,-147.13583,27.25220295430121,32.29894130795873,5.046738353657517,42.64834201617272,39.97795189691501,-2.6703901192577106
2,62.69471,-148.39368,31.966435529473614,38.281476487119505,6.315040957645891,63.102784713674666,55.19533115020739,-7.9074535634672785
2,62.69503,-144.68616,33.50217570936879,39.14638417284516,5.644208463476367,38.657670705044154,43.10371991155289,4.446049206508739
2,62.69574,-147.76474,27.469701561900884,31.521890032977225,4.052188471076342,50.165556339715515,43.69746287360242,-6.468093466113096
2,62.69664,-146.10977,32.549682377644174,38.6428413631657,6.0931589855215265,49.56605121550019,45.15521159452738,-4.4108396209728085
2,62.69737,-145.16068,33.35754818152381,38.63817590178266,5.280627720258849,47.73744908933716,45.49048332912445,-2.24696576021271
2,62.6979,-145.63524,38.959916925282826,44.5302200069582,5.570303081675377,53.93719091693477,54.00919525748504,0.07200434055027216
2,62.69847,-147.2131,27.042757376168684,32.785280334596216,5.742522958427532,43.73326492977218,41.685251634942354,-2.048013294829829
2,62.69876,-146.66142,32.88237594760444,34.10085343256479,1.2184774849603528,52.9307566108594,54.663864392896436,1.7331077820370382
2,62.6988,-148.47116,32.36843933987821,38.00520115660635,5.636761816728139,53.33207586562669,47.6815975389267,-5.650478326699989
2,62.70022,-147.84213,27.70268623429452,31.524468324435077,3.8217820901405553,50.183275943152864,40.63373325171696,-9.549542691435903
2,62.70142,-144.76294,33.00245934350126,38.64573921794567,5.64327987444441,39.658247445798956,43.3003350959927,3.6420876501937443
2,62.70214,-146.18686,32.43540493600909,36.75263460139941,4.317229665390315,50.095057974275456,44.79972287592161,-5.295335098353846
2,62.70285,-148.54871,32.74554223403764,37.02244034760588,4.276898113568237,41.41548502043465,43.86568121478819,2.4501961943535377
2,62.70329,-147.29042,29.64997577790866,35.19102312386616,5.541047345957498,50.96529643724868,48.29079797373389,-2.6744984635147944
2,62.70346,-145.23756,33.22326831186509,38.15872345583668,4.935455143971588,47.28140466691841,44.25490319506693,-3.026501471851482
2,62.7037,-145.71223,39.797349337207024,46.87764108500093,7.080291747793908,53.80616099695638,54.02198425249451,0.2158232555381332
2,62.70393,-146.73865,32.94863648272041,35.43185376918253,2.4832172864621214,53.44647604780355,54.39966179350258,0.9531857456990309
2,62.70466,-147.91956,25.583810873953894,28.180872492108218,2.5970616181543242,42.71932229948224,39.95433178585265,-2.7649905136295914
2,62.70684,-148.62625,34.787897432016166,36.76881414979055,1.9809167177743845,43.749509440981974,43.87720439187359,0.1276949508916161
2,62.70761,-146.26399,32.169947871758595,35.55517515321401,3.385227281455414,49.408260754898215,42.10992053665075,-7.298340218247468
2,62.70774,-144.83974,33.134593865949284,38.87720022093249,5.742606354983202,42.470023560638595,45.21839273156424,2.748369170925649
2,62.70807,-147.36777,31.688317612248248,37.61379232794725,5.9254747156990035,56.85844971948723,52.204487154283804,-4.653962565203429
2,62.70904,-146.81587,33.092481118249594,34.80445102773992,1.7119699094903282,53.64166543517269,51.1839472414503,-2.4577181937223926
2,62.70904,-147.99701,23.327781444234652,26.794462439683752,3.4666809954490994,40.166836892430254,36.67932130877688,-3.4875155836533764
2,62.70945,-145.78925,39.48037779220514,45.542106727791904,6.061728935586764,53.42807806789273,49.944139612367344,-3.483938455525383
2,62.70951,-145.31448,34.404645607986126,38.32556744401406,3.9209218360279365,49.00821015619549,44.42508594947577,-4.583124206719717
2,62.71079,-148.70383,34.928491933000466,34.558555042169345,-0.36993689083112,45.89792523341999,42.97209803485784,-2.9258271985621533
2,62.7128,-147.44513,28.57273203646554,33.96534371270474,5.3926116762391985,48.89241726358994,48.4484541203264,-0.44396314326353803
2,62.71301,-146.34116,31.74297228481212,35.76781511813031,4.024842833318189,46.199410465854235,38.9142080125054,-7.2852024533488375
2,62.71338,-148.07449,25.962829500538515,30.863351882886615,4.9005223823481,51.30026058096442,44.134874384387516,-7.165386196576904
