cell,lat,lon,mean_ALD_hist,mean_ALD_future,ALD_diff,ALD_pct_diff
63.93135_-147.24153,63.93135,-147.24153,0.717973686739436,0.9216151029355247,0.20364141619608878,28.363353693488975
63.93174_-146.66277,63.93174,-146.66277,0.8761317817200873,1.188907113036179,0.3127753313160917,35.699576004653984
63.08651_-147.65503,63.08651,-147.65503,0.5158437560329268,0.7032656326735446,0.18742187664061782,36.333070711561454
63.08652_-145.49350,63.08652,-145.4935,0.5422547514969247,0.7451826881464977,0.20292793664957298,37.42298911892962
63.08851_-146.53510,63.08851,-146.5351,0.5373900717555097,0.7324707404943935,0.19508066873888386,36.301502203345045
63.08873_-147.09508,63.08873,-147.09508,0.30651562302896,0.4718571719216943,0.16534154889273428,53.942290855795164
63.08904_-144.60811,63.08904,-144.60811,0.47284073096762,0.6562197079211378,0.1833789769535178,38.782398584456026
63.09018_-148.37210,63.09018,-148.3721,0.4031540615718632,0.5824780529085669,0.17932399133670374,44.480264104877136
63.09106_-147.73358,63.09106,-147.73358,0.4799051314960083,0.6640498584872024,0.18414472699119416,38.37106855206149
63.09139_-146.05338,63.09139,-146.05338,0.5359092470001174,0.7243253349636299,0.1884160879635125,35.15820803955473
63.09163_-145.08983,63.09163,-145.08983,0.38732888478238303,0.584167107416881,0.19683822263449802,50.819401900555306
63.09242_-145.57161,63.09242,-145.57161,0.5119104821838185,0.7172032908054785,0.20529280862166,40.10326331781243
63.06701_-146.22202,63.06701,-146.22202,0.49226029620645534,0.6858246500733566,0.19356435386690124,39.321544995316835
63.06778_-147.34109,63.06778,-147.34109,0.5238506778089991,0.7486102053537322,0.22475952754473316,42.90526615042056
63.06856_-145.25935,63.06856,-145.25935,0.5187700431383635,0.7155458469776502,0.19677580383928672,37.931219514694256
63.06863_-146.78156,63.06863,-146.78156,0.5278727809719201,0.7302713096882443,0.20239852871632413,38.34229306986954
63.06870_-145.74069,63.0687,-145.74069,0.5101195268045898,0.7062794549954596,0.1961599281908698,38.45371876266409
63.06887_-147.97908,63.06887,-147.97908,0.4068715138077056,0.5867792851061544,0.17990777129844882,44.217342623665786
63.07070_-148.69569,63.0707,-148.69569,0.3880919293577503,0.5723057699583087,0.18421384060055845,47.46654765674005
63.07246_-146.30023,63.07246,-146.30023,0.4702025496803696,0.6639271625542245,0.19372461287385484,41.20024721378975
63.07254_-147.41954,63.07254,-147.41954,0.5941567281530634,0.8438851496702949,0.2497284215172315,42.0307319069688
63.07291_-144.85593,63.07291,-144.85593,0.507904316021508,0.676846284520416,0.16894196849890797,33.262558157067105
63.70080_-147.63963,63.7008,-147.63963,0.2673551738683715,0.4923285002650788,0.2249733263967073,84.1477361898632
63.70205_-144.51895,63.70205,-144.51895,1.658384787034991,2.437340478619352,0.778955691584361,46.97074512948517
63.70253_-146.49257,63.70253,-146.49257,0.6409655153581943,0.8370104255073747,0.19604491014918035,30.585874817247145
63.70295_-147.06613,63.70295,-147.06613,0.4746160173441172,0.6774808433881716,0.20286482604405442,42.74293715986593
63.70451_-148.37410,63.70451,-148.3741,0.7016850006479155,0.9488420996208387,0.24715709897292315,35.223369281758266
63.70500_-145.01230,63.705,-145.0123,1.0544929761427302,1.5079991095449472,0.453506133402217,43.007032162614706
63.70523_-145.99921,63.70523,-145.99921,1.3276249068388788,1.9191170881451336,0.5914921813062548,44.55265777700859
63.70538_-147.72009,63.70538,-147.72009,0.35004301852570574,0.5647662443751192,0.2147232258494135,61.34195355581562
63.70607_-145.50574,63.70607,-145.50574,0.6889367211261257,0.9414458693620518,0.2525091482359261,36.65200888452838
63.70783_-146.57281,63.70783,-146.57281,0.6905713596928864,0.9055735956629368,0.21500223597005041,31.133963630589466
63.55343_-148.25111,63.55343,-148.25111,0.44844943889600875,0.6444257121151539,0.19597627321914513,43.70086262156974
63.55368_-147.60098,63.55368,-147.60098,0.0,0.15739117868570315,0.15739117868570315,inf
63.55510_-146.46054,63.5551,-146.46054,0.0,0.0,0.0,
63.55566_-147.03076,63.55566,-147.03076,0.0,0.24212573995985048,0.24212573995985048,inf
63.55724_-144.98883,63.55724,-144.98883,0.5659970854806252,0.7249789900660033,0.1589819045853781,28.08882036033386
63.55762_-148.33121,63.55762,-148.33121,0.39220530386298347,0.5748578536358582,0.1826525497728747,46.57064755980051
63.55770_-145.97000,63.5577,-145.97,0.9127735357352194,1.4338044763409945,0.5210309406057752,57.08216991480762
63.55828_-147.68097,63.55828,-147.68097,0.0,0.266214989129525,0.266214989129525,inf
63.55841_-145.47942,63.55841,-145.47942,0.3416054137886808,0.5385578948336012,0.19695248104492036,57.654964791265385
63.56041_-146.54030,63.56041,-146.5403,0.0,0.0,0.0,
63.07323_-148.05765,63.07323,-148.05765,0.4264711861071833,0.607648230868532,0.18117704476134872,42.48283369742457
63.07373_-146.85989,63.07373,-146.85989,0.5538240505091301,0.7606180987878202,0.20679404827869008,37.33930443948479
63.07444_-145.81882,63.07444,-145.81882,0.5241252010376316,0.7343337092780089,0.2102085082403773,40.10654473858901
63.07459_-145.33737,63.07459,-145.33737,0.4884900251193155,0.6722626474286657,0.1837726223093502,37.620547577089845
63.07462_-148.77435,63.07462,-148.77435,0.32192901486449943,0.5030262057401023,0.18109719087560283,56.25376480955809
63.07724_-147.49802,63.07724,-147.49802,0.6877685175000158,0.9906914006260221,0.30292288312600635,44.04430784751636
63.07754_-148.13622,63.07754,-148.13622,0.4440544706442772,0.6308346766801924,0.18678020603591522,42.062453681620724
63.07786_-146.37848,63.07786,-146.37848,0.49890206776624946,0.6958565697129444,0.19695450194669495,39.47758782169931
63.07878_-146.93826,63.07878,-146.93826,0.552883481970117,0.7494365304978436,0.1965530485277266,35.55053730803087
63.07920_-144.93387,63.0792,-144.93387,0.49247421046041057,0.6619764513821889,0.1695022409217783,34.41850097354578
64.00162_-145.55934,64.00162,-145.55934,1.2387089414923373,1.848314303370255,0.6096053618779176,49.21296209773816
64.00258_-148.54294,64.00258,-148.54294,0.8172259469883796,1.2531114974291502,0.4358855504407706,53.33721378366473
64.00266_-147.21938,64.00266,-147.21938,0.6679495070723787,0.9037332709623329,0.23578376388995426,35.29963887890179
64.00291_-146.63896,64.00291,-146.63896,0.6649640260508125,0.8586335014061206,0.1936694753553081,29.1248049169669
64.00430_-147.88115,64.0043,-147.88115,0.6345980550465937,0.8263820510256955,0.19178399597910178,30.221333717296144
64.00449_-144.64165,64.00449,-144.64165,1.3596579785451448,2.037305923591224,0.6776479450460791,49.8395887597536
64.00616_-146.13969,64.00616,-146.13969,0.9377762075494158,1.261151707179568,0.3233754996301521,34.48322713104362
64.00659_-148.62451,64.00659,-148.62451,0.8448721127657436,1.2605138458979275,0.4156417331321839,49.195816366994734
64.00696_-145.14096,64.00696,-145.14096,1.2989813751564796,1.9341523638018723,0.6351709886453927,48.89762091999801
64.00750_-145.64032,64.0075,-145.64032,1.245312395934358,1.8685138673453494,0.6232014714109915,50.04378607693882
63.94602_-146.32677,63.94602,-146.32677,0.8640729534610943,1.112306149110393,0.2482331956492987,28.72826821566237
