lat,lon,mean_ALD_hist,mean_ALD_future_medium,mean_ALD_future_high
63.5875,-145.87759,1.484186663,2.457224517,2.657224517
63.58785,-145.38641,0.647130919,0.870263582,1.070263582
63.58908,-148.24164,0.630275339,0.884171643,1.084171643
63.5893,-147.59059,0.01667159,0.348147277,0.548147277
63.59063,-146.44855,0,0.242230316,0.442230316
63.59122,-147.01958,0,0.018193832,0.218193832
63.59261,-144.97479,0.716943008,0.92825365,1.12825365
63.59316,-145.95734,1.149695565,1.835814505,2.035814505
63.59329,-148.32184,0.512545616,0.707490549,0.907490549
63.49921,-147.29216,0.096337164,0.36271755,0.56271755
63.49931,-145.66476,0,0.292870421,0.492870421
63.49981,-146.72316,0,0.257899749,0.457899749
63.50052,-147.94092,0.303803632,0.50094696,0.70094696
63.50251,-148.66963,0.338134636,0.521844941,0.721844941
63.50296,-144.76506,0.687657702,0.958853603,1.158853603
63.5034,-146.23372,0.15544259,0.395693968,0.595693968
63.504,-147.37192,0.188356433,0.443137666,0.643137666
63.5049,-148.0208,0.347223233,0.539789193,0.739789193
63.50496,-146.80281,0.103565864,0.376242597,0.576242597
63.56721,-144.657,0.552044975,0.731493831,0.931493831
63.56733,-147.84102,0.359772681,0.574873095,0.774873095
63.56887,-146.12938,0.504149065,0.680112436,0.880112436
63.56963,-145.14777,0.217621684,0.383457881,0.583457881
63.56991,-148.57164,0.518729692,0.700836971,0.900836971
63.57019,-145.63858,0.367390931,0.558740504,0.758740504
63.57037,-147.27051,0,0.160195371,0.360195371
63.57088,-146.69992,0,0,0.2
63.57178,-147.92108,0.50923029,0.731699462,0.931699462
63.57363,-144.73639,0.642621193,0.842633025,1.042633025
63.82388,-148.58876,0.517802756,0.715848392,0.915848392
63.82421,-145.62619,1.038464046,1.43025535,1.63025535
63.82447,-147.27454,0.621746436,0.822866954,1.022866954
63.82498,-146.69821,0.41893371,0.587349681,0.787349681
63.82582,-147.93167,0.602030034,0.810181151,1.010181151
63.82756,-144.71494,1.360395162,2.061166378,2.261166378
63.82787,-148.66977,0.614611437,0.865315548,1.065315548
63.82846,-146.20247,0.792819269,1.04778509,1.24778509
63.82928,-147.35532,0.752378435,1.029304184,1.229304184
63.82977,-145.21075,1.417556774,2.005749707,2.205749707
63.92649,-146.58179,0.838011329,1.102221052,1.302221052
63.92704,-148.48001,0.603159334,0.832599834,1.032599834
63.92721,-144.59058,1.021507085,1.450673882,1.650673882
63.92842,-147.82022,0.857648154,1.272996056,1.472996056
63.92953,-146.08405,0.99233623,1.383010819,1.583010819
63.92989,-145.08835,1.24183721,1.807517888,2.007517888
63.93066,-145.5862,1.31428342,1.988280633,2.188280633
63.93109,-148.56134,0.733491932,1.056586462,1.256586462
63.93135,-147.24153,0.717973687,0.921615103,1.121615103
63.93174,-146.66277,0.876131782,1.188907113,1.388907113
63.08651,-147.65503,0.515843756,0.703265633,0.903265633
63.08652,-145.4935,0.542254751,0.745182688,0.945182688
63.08851,-146.5351,0.537390072,0.73247074,0.93247074
63.08873,-147.09508,0.306515623,0.471857172,0.671857172
63.08904,-144.60811,0.472840731,0.656219708,0.856219708
63.09018,-148.3721,0.403154062,0.582478053,0.782478053
63.09106,-147.73358,0.479905131,0.664049858,0.864049858
63.09139,-146.05338,0.535909247,0.724325335,0.924325335
63.09163,-145.08983,0.387328885,0.584167107,0.784167107
63.09242,-145.57161,0.511910482,0.717203291,0.917203291
63.06701,-146.22202,0.492260296,0.68582465,0.88582465
63.06778,-147.34109,0.523850678,0.748610205,0.948610205
63.06856,-145.25935,0.518770043,0.715545847,0.915545847
63.06863,-146.78156,0.527872781,0.73027131,0.93027131
63.0687,-145.74069,0.510119527,0.706279455,0.906279455
63.06887,-147.97908,0.406871514,0.586779285,0.786779285
63.0707,-148.69569,0.388091929,0.57230577,0.77230577
63.07246,-146.30023,0.47020255,0.663927163,0.863927163
63.07254,-147.41954,0.594156728,0.84388515,1.04388515
63.07291,-144.85593,0.507904316,0.676846285,0.876846285
63.7008,-147.63963,0.267355174,0.4923285,0.6923285
63.70205,-144.51895,1.658384787,2.437340479,2.637340479
63.70253,-146.49257,0.640965515,0.837010426,1.037010426
63.70295,-147.06613,0.474616017,0.677480843,0.877480843
63.70451,-148.3741,0.701685001,0.9488421,1.1488421
63.705,-145.0123,1.054492976,1.50799911,1.70799911
63.70523,-145.99921,1.327624907,1.919117088,2.119117088
63.70538,-147.72009,0.350043019,0.564766244,0.764766244
63.70607,-145.50574,0.688936721,0.941445869,1.141445869
63.70783,-146.57281,0.69057136,0.905573596,1.105573596
63.55343,-148.25111,0.448449439,0.644425712,0.844425712
63.55368,-147.60098,0,0.157391179,0.357391179
63.5551,-146.46054,0,0,0.2
63.55566,-147.03076,0,0.24212574,0.44212574
63.55724,-144.98883,0.565997085,0.72497899,0.92497899
63.55762,-148.33121,0.392205304,0.574857854,0.774857854
63.5577,-145.97,0.912773536,1.433804476,1.633804476
63.55828,-147.68097,0,0.266214989,0.466214989
63.55841,-145.47942,0.341605414,0.538557895,0.738557895
63.56041,-146.5403,0,0,0.2
63.07323,-148.05765,0.426471186,0.607648231,0.807648231
63.07373,-146.85989,0.553824051,0.760618099,0.960618099
63.07444,-145.81882,0.524125201,0.734333709,0.934333709
63.07459,-145.33737,0.488490025,0.672262647,0.872262647
63.07462,-148.77435,0.321929015,0.503026206,0.703026206
63.07724,-147.49802,0.687768518,0.990691401,1.190691401
63.07754,-148.13622,0.444054471,0.630834677,0.830834677
63.07786,-146.37848,0.498902068,0.69585657,0.89585657
63.07878,-146.93826,0.552883482,0.74943653,0.94943653
63.0792,-144.93387,0.49247421,0.661976451,0.861976451
64.00162,-145.55934,1.238708941,1.848314303,2.048314303
64.00258,-148.54294,0.817225947,1.253111497,1.453111497
64.00266,-147.21938,0.667949507,0.903733271,1.103733271
64.00291,-146.63896,0.664964026,0.858633501,1.058633501
64.0043,-147.88115,0.634598055,0.826382051,1.026382051
64.00449,-144.64165,1.359657979,2.037305924,2.237305924
