lat,lon,mean_ALD_hist
64.13577,-148.01706,0.00
63.94939,-146.1251,0.40
63.90892,-145.09506,0.51
63.54396,-148.22925,0.25
63.83218,-148.20641,0.01
64.98282,-146.49846,0.36
62.8953,-144.99217,0.89
64.44507,-148.16985,0.25
62.91941,-144.97889,0.93
64.04666,-147.67227,0.16
64.63884,-145.95118,0.60
64.84652,-147.76539,0.63
63.79511,-144.87159,0.59
63.11256,-148.55577,0.48
64.03442,-146.15139,0.66
64.43604,-146.06341,0.57
62.84883,-147.28326,0.55
62.9371,-145.47511,0.58
65.04489,-148.09259,0.61
63.52238,-145.28307,0.56
64.89109,-146.84378,1.30
65.33468,-148.19896,0.41
63.39471,-148.59539,0.35
63.04606,-147.85904,0.73
63.30875,-144.63372,1.23
64.34102,-146.49381,0.65
64.4694,-145.47463,1.17
62.68195,-145.54148,1.18
63.18861,-144.70175,0.38
63.83396,-145.87105,0.31
63.30981,-146.50487,0.67
64.90653,-146.93882,0.62
64.26781,-148.42925,0.57
64.63042,-146.93831,0.63
65.13089,-144.58271,0.82
63.41545,-145.93923,0.69
65.5006,-145.23073,0.50
65.47009,-147.35222,0.63
64.97031,-148.02674,0.60
63.85052,-145.84767,0.76
63.86673,-148.37567,0.35
65.32468,-146.66782,0.62
63.31425,-146.30451,0.56
64.6113,-146.36252,0.50
64.81435,-148.66189,0.54
64.43714,-148.71051,0.58
65.43126,-148.52325,0.63
64.77828,-144.58764,0.55
64.20596,-145.31771,0.58
65.07993,-147.92711,0.56
63.62955,-147.27894,0.44
65.10777,-148.23851,0.60
64.42797,-145.32262,0.54
63.07456,-144.93532,0.58
64.18074,-145.14308,0.63
63.53988,-145.55884,0.54
64.57133,-147.56829,0.55
65.31766,-144.91912,0.43
65.43751,-146.9353,0.64
64.14603,-147.7238,0.57
64.33905,-146.34941,0.75
65.09007,-145.02543,0.85
63.24763,-145.16482,0.58
63.32274,-144.92434,0.00
65.12674,-144.71977,0.00
65.04685,-146.44846,0.57
64.56183,-144.80495,0.92
65.11226,-145.84703,0.24
63.39609,-146.78617,0.64
65.35067,-148.81605,0.64
64.56648,-145.14031,0.38
62.70819,-145.15045,0.61
63.57548,-148.22856,0.57
65.25623,-147.19722,0.69
65.52406,-145.89524,0.47
63.73147,-146.28453,0.54
62.9489,-146.64687,0.59
63.46998,-145.09822,0.64
62.87684,-146.93464,0.31
64.09085,-148.21149,0.69
62.9843,-146.55887,0.44
62.71295,-148.02898,0.58
63.10411,-147.48098,0.19
65.06614,-148.76121,0.55
64.3723,-148.06037,0.47
64.57889,-148.61408,0.54
64.26235,-144.6735,0.09
64.95305,-147.03217,0.55
65.46596,-148.20722,0.00
63.57591,-147.24884,0.71
64.83385,-147.36015,0.61
62.97761,-145.55171,0.53
64.02277,-146.34522,0.60
64.37508,-146.70842,0.57
65.43523,-144.60672,0.42
64.49099,-147.44882,0.65
63.51809,-147.05053,0.55
65.11056,-146.97771,0.60
62.68716,-146.11019,0.53
63.88938,-145.85527,0.61
62.76408,-146.89292,0.61
63.90994,-147.82569,0.52
64.30689,-145.97407,0.44
63.32382,-144.65359,0.58
63.73976,-145.23357,0.63
65.52603,-147.83223,0.55
63.62886,-147.20811,0.61
63.63795,-145.11854,0.63
63.97449,-145.88089,0.64
64.10005,-144.86986,0.60
65.48724,-148.16653,0.55
63.31206,-147.33718,0.48
64.32363,-148.5616,0.74
64.63767,-145.87839,0.77
63.84698,-144.59672,0.51
65.54482,-144.9323,0.61
63.56748,-148.07638,0.66
65.20911,-147.5642,0.75
63.70116,-145.75677,0.50
65.02458,-147.52665,0.86
65.07309,-147.98972,0.53
65.52834,-144.71561,0.68
64.54565,-145.84178,0.42
64.66168,-148.20939,0.56
64.23146,-148.37447,0.55
65.24654,-148.25811,0.51
65.05009,-145.18321,0.61
63.07595,-147.32638,0.55
63.44077,-145.58439,0.45
64.09178,-145.67187,0.60
64.67755,-147.63122,0.38
63.71151,-145.79411,0.44
65.03954,-144.78723,0.64
64.72853,-147.70784,0.57
65.32575,-146.03897,0.48
65.07954,-145.34467,0.52
63.78921,-145.1627,0.68
64.40495,-147.8702,0.54
63.82986,-145.77269,0.48
65.43049,-147.80692,0.55
62.75487,-146.38204,0.48
63.33337,-147.55252,0.63
63.83679,-146.19986,1.47
65.10023,-148.15354,0.41
62.95715,-146.36249,0.84
64.45107,-145.66055,0.88
63.79842,-145.77549,0.58
63.47196,-145.69555,0.39
65.01268,-145.48772,0.40
64.81992,-148.1606,0.65
63.20381,-146.77078,0.90
62.99546,-146.0059,1.37
63.44734,-145.29607,0.66
62.75803,-145.08139,1.10
64.12032,-147.85178,0.77
63.93572,-144.8776,0.58
63.54108,-148.13144,0.78
63.18807,-146.49692,1.38
64.24396,-145.67436,0.78
63.17889,-147.14933,0.86
65.11859,-148.64719,0.41
64.79426,-146.05591,0.44
63.73536,-146.7545,0.50
65.15148,-145.61588,0.42
65.12234,-144.73737,0.48
64.89943,-145.73072,0.44
63.21894,-145.30808,0.42
64.7962,-144.63611,0.61
64.01624,-147.81663,0.35
64.59377,-146.88449,0.54
63.23406,-148.50025,0.59
65.15754,-145.98514,0.51
62.84343,-147.23012,0.54
64.92513,-145.55307,0.57
65.30748,-148.67358,0.52
64.89308,-146.60654,0.50
62.92834,-146.75519,0.68
63.01266,-147.97268,0.59
63.89472,-145.60759,0.62
63.72143,-146.80455,0.49
62.77403,-144.61031,0.61
64.58068,-147.53434,0.76
65.26444,-146.62628,1.52
65.41945,-146.81033,0.90
65.19098,-148.12276,0.56
65.09585,-145.32022,0.62
64.97177,-146.77085,1.27
64.16981,-144.64033,0.74
62.69237,-145.98212,1.30
63.63751,-147.10408,0.73
63.59577,-147.58009,0.31
65.07737,-147.89882,0.26
64.31008,-147.72891,0.38
64.36658,-147.26522,0.42
64.48105,-147.14795,0.53
63.17995,-148.32872,0.40
63.02926,-147.55917,0.42
62.68817,-147.33319,0.28
64.02703,-147.3369,0.30
65.55066,-144.86827,0.27
64.86012,-144.70155,0.45
64.85769,-146.12389,0.46
62.94411,-147.9211,0.49
64.77578,-148.57794,0.40
65.18515,-148.48141,0.51
63.69371,-145.74651,0.45
64.02048,-147.72835,0.54
63.44404,-146.20816,0.34
64.08505,-148.01297,0.43
64.75864,-148.45448,0.37
63.2093,-144.54825,0.56
63.87657,-145.67519,0.40
65.42668,-144.76273,0.57
63.86539,-146.1702,0.21
64.19202,-147.74427,0.13
65.12274,-146.77812,0.38
65.16991,-144.94793,0.58
64.51809,-147.87207,0.50
62.79344,-145.62194,0.00
63.2182,-145.64806,0.48
64.90356,-146.1427,0.78
65.58355,-146.56938,0.84
64.61965,-146.44594,0.51
63.6872,-146.40798,0.58
64.88135,-147.60051,1.28
