latitude,longitude,mean_height_m,max_LAI,dominant_LULC
63.30122,-147.80774,1.91,1.72,wetland
64.43848,-145.24345,3.48,1.95,shrub
63.34974,-145.27878,,0.0,open
65.29243,-145.89335,2.83,1.89,shrub
65.08403,-144.85002,4.78,2.31,shrub
63.22773,-145.91159,2.81,2.24,shrub
63.97065,-147.86767,3.2,2.25,shrub
63.81825,-147.5274,0.17,0.73,open
63.58282,-146.07774,3.54,1.28,open
64.53318,-144.60135,4.53,1.87,evergreen
64.43999,-148.11424,4.07,2.68,shrub
63.283,-148.61833,2.85,1.9,shrub
64.1508,-144.86957,4.21,1.26,grass
63.05162,-145.46967,3.3,2.21,evergreen
63.92544,-147.33064,2.7,2.07,shrub
62.7213,-146.78889,4.13,1.89,evergreen
65.49795,-146.58699,0.2,1.93,shrub
64.42883,-145.62919,4.86,2.55,evergreen
62.93901,-146.13356,2.78,1.32,shrub
65.14075,-147.70351,10.37,3.2,evergreen
64.89554,-147.28383,6.56,3.01,mixed
65.26568,-148.26338,6.4,2.17,grass
64.56768,-144.74267,2.81,0.69,open
63.74928,-146.7044,2.82,2.19,shrub
63.26236,-146.41629,2.79,1.62,shrub
64.56813,-147.46775,3.54,2.4,wetland
63.58052,-145.93632,5.96,3.77,mixed
64.13503,-147.54183,5.74,2.48,deciduous
64.7218,-145.59551,4.8,2.69,evergreen
64.16128,-144.90712,4.12,1.32,grass
63.831,-144.85106,5.29,3.03,wetland
65.09462,-147.60877,4.32,2.88,wetland
65.3863,-145.64428,2.69,1.76,shrub
63.37943,-148.36278,3.99,1.88,evergreen
63.74056,-146.99477,3.97,2.36,shrub
65.26034,-148.13233,5.33,2.03,deciduous
63.93682,-147.25316,2.75,2.02,shrub
63.62708,-146.6249,,0.04,open
65.08441,-146.57625,4.16,2.56,shrub
63.86049,-148.79259,4.08,3.76,shrub
64.93927,-147.34947,10.26,3.25,deciduous
63.62446,-148.34737,2.98,2.09,shrub
63.73935,-147.10966,0.68,1.71,shrub
65.45483,-144.85112,3.29,2.09,shrub
65.59045,-148.35388,2.76,2.52,wetland
63.92805,-147.09971,2.84,2.32,shrub
64.49997,-147.67729,3.6,2.16,wetland
63.36383,-146.05181,,0.0,open
64.93662,-147.99946,7.33,4.26,deciduous
64.04968,-147.4406,2.61,2.26,shrub
62.78854,-148.61857,4.49,2.74,evergreen
65.18189,-148.23111,8.76,2.76,evergreen
63.03753,-147.38715,2.53,2.21,shrub
63.23546,-144.83133,,0.0,open
62.70143,-146.9656,2.86,1.71,evergreen
63.02176,-145.31683,3.2,1.69,evergreen
62.75509,-147.74561,4.99,1.12,evergreen
64.98787,-146.16974,9.9,3.44,evergreen
64.09209,-148.57021,3.62,2.74,shrub
62.74429,-147.95893,4.57,2.66,evergreen
63.22384,-147.02842,0.22,1.04,shrub
65.58518,-145.6938,2.82,1.92,evergreen
64.01999,-148.74741,0.7,2.01,shrub
64.69679,-146.46277,4.52,2.65,evergreen
64.17661,-147.98271,2.96,1.92,evergreen
63.89952,-147.71622,2.66,0.46,open
63.39891,-146.44462,,0.0,open
63.67647,-148.77748,3.85,1.72,evergreen
63.58907,-146.68729,,0.02,open
65.08794,-148.08575,5.8,3.11,deciduous
64.62424,-148.49031,3.59,1.97,wetland
64.16938,-148.59132,4.27,2.12,shrub
65.23264,-146.04699,3.25,2.33,evergreen
65.26096,-145.5823,3.0,1.64,evergreen
65.16251,-144.93741,3.04,1.91,shrub
64.99731,-145.70453,3.68,2.48,evergreen
65.4744,-145.77344,0.32,2.16,shrub
63.35038,-148.39036,2.1,0.71,shrub
63.8187,-146.63971,3.3,1.02,open
65.18042,-148.49856,3.64,2.19,wetland
62.96446,-146.91905,2.63,2.02,evergreen
65.59137,-147.31747,3.45,2.17,shrub
65.48593,-147.25385,3.5,1.72,shrub
64.16676,-144.61301,4.23,1.89,evergreen
64.07602,-144.76767,12.73,4.28,deciduous
63.13984,-146.04271,0.23,0.36,open
63.34643,-144.68344,4.43,1.59,shrub
63.84503,-147.02734,3.31,2.01,evergreen
64.44655,-145.67771,3.64,2.59,shrub
65.33388,-145.25473,3.74,1.97,shrub
64.31573,-147.85644,2.92,2.66,wetland
63.08365,-145.12791,0.25,1.59,shrub
63.98687,-146.73876,3.2,2.39,shrub
64.90743,-146.24406,3.66,3.54,shrub
63.2169,-146.65135,2.96,1.36,shrub
64.99524,-148.23543,9.08,2.64,evergreen
64.60807,-148.80407,3.84,2.32,wetland
64.80334,-144.52812,2.15,1.72,wetland
64.70489,-148.20276,6.27,1.83,evergreen
65.40205,-147.49298,2.52,2.02,shrub
62.9974,-148.3429,0.47,2.08,shrub
65.56029,-148.65359,4.17,2.35,shrub
63.07305,-147.55208,2.54,1.79,shrub
63.06407,-145.0117,2.58,1.78,shrub
65.20377,-146.19758,3.86,1.76,shrub
65.49428,-146.67915,3.83,1.81,shrub
63.93664,-147.84129,3.9,2.31,evergreen
63.28039,-147.08479,1.84,1.61,shrub
65.20323,-146.51091,2.58,2.03,shrub
65.01079,-145.65225,4.88,2.28,evergreen
64.08109,-146.54514,2.56,2.62,deciduous
65.18791,-145.78887,0.29,1.81,shrub
65.1031,-144.73405,3.86,1.27,shrub
63.6416,-148.39611,2.34,2.58,shrub
62.92931,-145.57757,4.21,2.16,evergreen
63.91156,-148.11123,4.2,0.91,open
64.37803,-146.0515,10.55,3.53,evergreen
65.14626,-146.95854,3.56,2.73,shrub
63.65695,-147.10852,0.67,0.18,open
65.11671,-145.03943,3.39,1.23,shrub
65.24534,-145.1274,3.43,1.98,shrub
64.98596,-144.64073,0.17,0.29,open
64.61846,-148.216,3.52,2.22,shrub
65.47242,-145.38315,3.27,1.64,shrub
65.05951,-145.69862,4.85,2.32,evergreen
63.7066,-147.2261,0.4,0.16,open
63.2241,-146.29491,0.19,0.71,open
65.53229,-147.69406,3.53,2.02,shrub
63.92363,-147.70436,2.91,0.76,open
65.39447,-145.05328,2.87,1.85,shrub
64.04316,-145.39503,4.39,2.17,crop
62.74092,-148.25181,0.42,1.88,shrub
65.24891,-146.53041,3.94,1.83,shrub
63.24158,-145.22484,0.1,0.0,open
62.84546,-146.57329,2.46,2.3,shrub
64.35028,-147.62182,6.8,2.81,wetland
65.14517,-147.3452,4.52,2.6,shrub
64.94363,-148.57006,10.01,3.19,evergreen
63.13696,-146.01602,3.69,0.0,open
63.42774,-146.59988,,0.0,open
63.23453,-148.03645,0.48,1.73,shrub
65.37707,-147.35676,3.92,1.68,shrub
62.68362,-148.65164,2.64,0.85,open
64.44436,-148.02496,3.56,2.31,wetland
63.28518,-147.3222,3.75,1.84,shrub
62.78285,-148.35752,3.92,2.54,evergreen
63.9372,-145.29557,4.53,1.71,crop
62.86128,-146.48144,3.62,2.42,shrub
65.39711,-144.72052,3.41,2.25,evergreen
64.65317,-147.0435,4.79,1.61,open
63.69132,-148.11681,3.28,1.93,shrub
63.03874,-147.52661,3.73,1.38,wetland
62.76524,-145.42721,3.58,2.09,evergreen
65.29423,-148.23419,7.46,3.67,deciduous
64.59582,-147.62885,4.06,2.26,wetland
64.7234,-145.55038,4.32,2.29,evergreen
64.4161,-144.86115,5.93,4.28,deciduous
63.36484,-145.18517,0.34,0.19,open
65.02583,-145.98526,2.7,2.18,evergreen
62.96156,-144.89933,3.61,1.71,evergreen
64.1429,-147.62442,3.7,2.09,evergreen
62.8802,-145.19702,3.0,1.72,evergreen
65.29323,-147.32657,2.57,2.18,shrub
63.99215,-147.82845,3.22,2.54,shrub
63.30477,-145.10482,,0.0,open
64.56727,-148.0662,3.7,2.44,wetland
64.01316,-147.7176,3.87,2.21,shrub
63.96061,-144.58842,5.9,2.77,evergreen
65.52228,-148.71722,3.31,2.7,shrub
65.04406,-148.50635,5.2,2.86,evergreen
65.29587,-147.35498,3.64,2.33,evergreen
62.78606,-147.35545,0.38,1.64,shrub
63.95972,-144.97947,5.61,3.03,crop
64.98129,-145.60979,3.05,2.33,evergreen
65.42396,-144.97532,3.22,1.91,shrub
64.91541,-147.36191,3.46,2.72,evergreen
65.17746,-147.83296,3.67,2.38,evergreen
64.57229,-144.84291,2.85,0.44,open
63.75803,-147.04304,0.58,1.76,shrub
63.3094,-148.49375,2.45,1.17,shrub
63.33748,-144.71697,0.7,1.05,open
65.41494,-146.43816,4.02,1.91,shrub
65.31853,-145.59373,2.89,2.18,evergreen
64.91192,-146.99498,6.2,3.82,deciduous
63.7032,-147.12795,,0.0,open
65.49448,-145.4153,3.65,2.11,shrub
63.75479,-145.02398,4.89,1.91,evergreen
64.31794,-147.21763,3.72,2.44,mixed
63.38705,-145.44304,,0.0,open
63.33887,-147.09796,2.38,1.51,shrub
63.87045,-146.71315,4.5,2.68,shrub
62.69476,-147.02446,4.2,1.71,evergreen
65.14829,-148.20347,9.95,2.53,evergreen
63.78413,-147.82986,0.17,0.06,open
63.43945,-145.51396,0.31,0.0,open
63.61586,-148.05332,3.49,2.45,shrub
63.68965,-146.99214,,0.0,open
62.7354,-146.55911,3.31,1.62,evergreen
64.33115,-148.02261,3.39,2.19,evergreen
63.9052,-148.31456,0.35,0.54,open
65.25885,-146.37566,3.71,1.89,shrub
64.41714,-146.24885,8.96,2.31,evergreen
64.3851,-146.36823,6.59,3.61,deciduous
64.95222,-145.32973,3.07,1.99,shrub
64.43828,-145.90153,4.84,2.96,shrub
